school_name,School ID,Type,Programmes,Suburb,Actively Working In,latitude,longitude,Google Maps,Total Children,Total Youth,Total Sessions
Kuyga,183,Primary,Zazi Izandi,Kuyga,checked,-33.923017,25.44427145,"https://www.google.com/maps?q=-33.92301743074197,25.444271452697272",28,0,6
Kwakhanya Daycare,209,ECD,"Numeracy,1000 Stories",Motherwell,checked,,,,6,0,26
KwaMagxaki,23,High School,Top Learners High School,Kwa-Magxaki,checked,-33.84802,25.54222395,"https://www.google.com/maps?q=-33.84801992644832,25.542223953167625",35,0,0
KwaNoXolo,82,Primary,Zazi Izandi,KwaNoxolo,checked,-33.857541,25.48796558,"https://www.google.com/maps?q=-33.857541169778905,25.487965582003472",116,0,2
Kwazakhele,28,High School,Top Learners High School,Kwazakhele,checked,-33.88352,25.57578934,"https://www.google.com/maps?q=-33.88351981060781,25.57578933967558",4,0,0
Lamani,67,Primary,Zazi Izandi,New Brighton,,-33.893829,25.59003491,"https://www.google.com/maps?q=-33.893829,25.59003491",16,0,0
Lavela Pre-School,215,ECD,Numeracy,Kwa-Dwesi,checked,,,,12,0,6
Libhongo Lwethu,61,ECD,Zazi Izandi,Zwide,,-33.817753,25.58517385,"https://www.google.com/maps?q=-33.817752707466994,25.585173853805117",10,1,80
lihlombe Educare,207,ECD,"Numeracy,1000 Stories",Zwide,checked,-33.876113,25.56777245,"https://www.google.com/maps?q=-33.876112569529624,25.56777244881056",52,0,194
Likhaya Daycare,216,ECD,Numeracy,Soweto On Sea,checked,-33.861104,25.57001441,"https://www.google.com/maps?q=-33.86110447356961,25.57001440644629",30,0,209
Linge Tots,244,ECD,1000 Stories,New Brighton,checked,-33.870429,25.58653796,"https://www.google.com/maps?q=-33.87042893406667,25.58653795619738",0,0,11
Lingelethu,322,Primary,Literacy,Buizedenhoutville,checked,-32.691737,26.30642032,"https://www.google.com/maps?q=-32.69173724467355,26.306420324922748",81,7,1458
Lithemba,309,ECD,Literacy,Kwazakhele,checked,-33.870954,25.58511004,"https://www.google.com/maps?q=-33.87095351349572,25.585110036828645",17,2,1676
Little Angels Unite,254,ECD,1000 Stories,Kwazakhele,checked,,,,0,0,48
Little Flower,187,Primary,Zazi Izandi,Mosel,checked,-33.750837,25.40018209,"https://www.google.com/maps?q=-33.75083718176702,25.400182093170432",63,0,0
Living Ubuntu,316,ECD,Literacy,Umzamowethu,checked,-34.165628,24.664366,"https://www.google.com/maps?q=-34.165628,24.664366",17,2,1624
Livuse,79,ECD,Zazi Izandi,Motherwell,,-33.797813,25.61568401,"https://www.google.com/maps?q=-33.79781278343788,25.615684011568295",20,1,82
Lovemore Park,176,Primary,Zazi Izandi,Lovemore Park,checked,-34.013873,25.51990144,"https://www.google.com/maps?q=-34.013872689660005,25.519901437362172",2,0,6
Loyiso,42,High School,Top Learners High School,Zwide,checked,-33.870509,25.56410352,"https://www.google.com/maps?q=-33.87050854890195,25.56410351843085",11,0,0
Lukhanyiso Educare,271,ECD,1000 Stories,New Brighton,checked,-33.86105,25.54001122,"https://www.google.com/maps?q=-33.86105011790571,25.5400112238584",0,0,41
Lukhanyiso Pre School,220,ECD,Numeracy,Motherwell,checked,,,,14,0,12
Lukhanyo,63,ECD,Zazi Izandi,Kwazakhele,,-33.87822,25.59050672,"https://www.google.com/maps?q=-33.87822037098309,25.590506724885252",4,1,46
Lungisa,22,High School,Top Learners High School,Kwa-Dwesi,checked,-33.844498,25.51518252,"https://www.google.com/maps?q=-33.844497888776345,25.51518252433201",14,0,0
Lungiso,45,High School,Top Learners High School,Humansdorp,,,,,2,0,0
Magqabi,129,Primary,Zazi Izandi,KwaNobuhle,checked,-33.824059,25.39385785,"https://www.google.com/maps?q=-33.82405867473399,25.393857851318838",36,0,0
Malabar,181,Primary,Zazi Izandi,Malabar,checked,-33.923769,25.54232072,"https://www.google.com/maps?q=-33.923768529430504,25.542320723862222",224,0,0
Masakhane,138,Primary,Zazi Izandi,Kwazakhele,checked,-33.874109,25.57717802,"https://www.google.com/maps?q=-33.8741085412824,25.577178022486272",50,0,4
Masibambane,43,High School,Top Learners High School,Kwazakhele,checked,-33.868488,25.58680271,"https://www.google.com/maps?q=-33.86848824799416,25.586802710839503",10,0,0
Masiphathisane,18,High School,Top Learners High School,Motherwell,checked,-33.796288,25.60202358,"https://www.google.com/maps?q=-33.796287928897115,25.60202357858626",23,0,0
Mboniselo,101,Primary,"Zazi Izandi,YearBeyond",Motherwell,checked,-33.794105,25.60015771,"https://www.google.com/maps?q=-33.79410480296289,25.60015770898795",121,0,3
Mdengentonga,119,Primary,Zazi Izandi,Motherwell,checked,-33.811679,25.57574208,"https://www.google.com/maps?q=-33.811679288041724,25.575742082001014",90,0,21
Melisizwe,60,Primary,"Zazi Izandi,YearBeyond",Motherwell,checked,-33.790333,25.59184573,"https://www.google.com/maps?q=-33.790332751085955,25.591845726814704",139,0,0
Mfesane,17,High School,Top Learners High School,Motherwell,checked,-33.777149,25.58798611,"https://www.google.com/maps?q=-33.77714860880096,25.587986112681797",11,0,0
Missionvale,117,Primary,Zazi Izandi,Missionvale,checked,-33.888794,25.55549708,"https://www.google.com/maps?q=-33.888794036250005,25.55549708015783",159,0,7
Mjuleni,177,Primary,Zazi Izandi,KwaNobuhle,checked,-33.812569,25.375823,"https://www.google.com/maps?q=-33.81256923220451,25.375822995020258",56,0,0
Mngcunube,152,Primary,Zazi Izandi,KwaNobuhle,checked,-33.798171,25.39147278,"https://www.google.com/maps?q=-33.79817130670961,25.391472781524847",62,0,0
Mnqophiso,168,Primary,Zazi Izandi,KwaNobuhle,checked,-33.873033,25.56922562,"https://www.google.com/maps?q=-33.87303280791997,25.569225622012958",44,0,6
Molefe,284,Primary,"Literacy,Zazi Izandi",New Brighton,checked,-33.906869,25.59147571,"https://www.google.com/maps?q=-33.906869,25.59147571",69,3,1862
Moses Mabhida,41,High School,Top Learners High School,Kirkwood,checked,-32.963987,,,5,0,0
Motherwell,25,High School,Top Learners High School,Motherwell,checked,-33.815262,25.57488437,"https://www.google.com/maps?q=-33.81526159530772,25.574884368507202",50,0,0
Mqhayi,140,Primary,Zazi Izandi,KwaNobuhle,,-32.937128,27.72922137,"https://www.google.com/maps?q=-32.93712786766852,27.729221367702234",31,0,0
Msobomvu Full Service,323,Primary,"Literacy,1000 Stories",Bongweni,checked,-32.739899,25.79655624,"https://www.google.com/maps?q=-32.73989898,25.79655624",76,7,3269
Msobomvu Preschool,297,ECD,Zazi Izandi,Bongweni,,-32.745732,25.79667515,"https://www.google.com/maps?q=-32.7457315820498,25.796675154926096",16,2,103
Mthonjeni,158,Primary,Zazi Izandi,KwaNobuhle,checked,-33.80291,25.38784437,"https://www.google.com/maps?q=-33.802910348210084,25.387844368506492",30,0,0
Mzamomhle Edu-care,294,ECD,Zazi Izandi,Bethelsdorp,,-32.739804,25.79875313,"https://www.google.com/maps?q=-32.73980434430372,25.798753127420422",12,1,27
Mzimhlophe,96,Primary,Zazi Izandi,Zwide,,-33.857689,25.55707017,"https://www.google.com/maps?q=-33.8576889837666,25.557070166187824",35,0,0
Ncedo,39,High School,Top Learners High School,Motherwell,checked,-33.788632,25.58968988,"https://www.google.com/maps?q=-33.78863200648807,25.589689881524286",22,0,0
Nceduluntu Edu-care,293,ECD,Zazi Izandi,Buizedenhoutville,,-32.681651,26.29227641,"https://www.google.com/maps?q=-32.68165081501924,26.29227641022517",6,2,47
Ndyebo,27,High School,Top Learners High School,Motherwell,checked,-33.808306,25.58100072,"https://www.google.com/maps?q=-33.808306022373955,25.58100072433005",17,0,0
Ndzondelelo,31,High School,Top Learners High School,Zwide,checked,-33.862197,25.55607487,"https://www.google.com/maps?q=-33.86219726996942,25.556074872404213",54,0,0
Nelisa,243,ECD,1000 Stories,Motherwell,checked,-33.800678,25.57951692,"https://www.google.com/maps?q=-33.800678,25.57951692",0,0,58
Newell,16,High School,Top Learners High School,New Brighton,checked,-33.898808,,,13,0,0
Njongozabantu,81,ECD,Zazi Izandi,Motherwell,,-33.797261,25.6055921,"https://www.google.com/maps?q=-33.797261,25.6055921",8,1,58
Nkuthalo,74,Primary,Zazi Izandi,Zwide,,-33.87791,25.56494425,"https://www.google.com/maps?q=-33.877910496556275,25.564944252694595",2,0,0
Nobandla,320,ECD,Literacy,New Brighton,checked,-33.893886,25.59293301,"https://www.google.com/maps?q=-33.893886,25.59293301",24,2,1615
Nokwezi,195,Primary,Zazi Izandi,KwaNobuhle,checked,-33.828756,25.37621881,"https://www.google.com/maps?q=-33.82875592330766,25.376218810361873",109,0,0
Noluthando,321,ECD,Literacy,New Brighton,checked,-33.872573,25.571911,"https://www.google.com/maps?q=-33.872573,25.571911",23,2,2297
Nomathamsanqa,167,Primary,Zazi Izandi,Resevoir Hills,checked,-33.821454,25.45486125,"https://www.google.com/maps?q=-33.82145388172952,25.454861248998878",67,0,0
Nomonde,238,ECD,1000 Stories,New Brighton,checked,-33.898924,25.59167732,"https://www.google.com/maps?q=-33.898924,25.59167732",0,0,4
Noninzi Luzipho,193,Primary,Zazi Izandi,KwaNobuhle,,-33.808967,25.36532896,"https://www.google.com/maps?q=-33.808967338566596,25.365328964338794",45,0,0
Nonkqubela,315,ECD,Literacy,Motherwell,checked,-33.81301,25.58137617,"https://www.google.com/maps?q=-33.813009862966666,25.58137616729963",21,2,1384
Nontsapho,252,ECD,1000 Stories,Motherwell,checked,-33.804926,25.60950307,"https://www.google.com/maps?q=-33.804926,25.60950307",0,0,72
Nosandla Educare,206,ECD,"Numeracy,1000 Stories",Zinyoka ,checked,-33.858149,25.53613634,"https://www.google.com/maps?q=-33.858148768407794,25.536136341975947",21,0,280
Nosipho,162,Primary,Zazi Izandi,KwaNobuhle,checked,-33.822789,25.40052412,"https://www.google.com/maps?q=-33.82278852409641,25.400524123856027",63,0,9
Ntlemeza,172,Primary,Zazi Izandi,KwaNobuhle,checked,-33.802569,25.40192344,"https://www.google.com/maps?q=-33.80256926241739,25.401923435503267",14,0,0
Ntyatyambo,83,Primary,Zazi Izandi,Missionvale,checked,-33.871688,25.5560733,"https://www.google.com/maps?q=-33.871687922610555,25.55607330094124",62,0,3
Paulos Oyigcwele,296,ECD,Literacy,Motherwell,checked,-33.808992,25.59967265,"https://www.google.com/maps?q=-33.80899235007284,25.599672647660306",12,1,1249
